Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-03-17,1:44.843,K4I,,1,36.904,34.182,33.757,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:44.718,ユダ,,<1,36.676,33.844,34.198,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Parachute
2022-03-18,1:44.575,Lemon,,<1,36.586,33.855,34.134,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:44.203,K4I,,<1,36.591,33.655,33.957,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:43.969,ユダ,,1,36.407,33.750,33.812,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Parachute
2022-03-19,1:43.912,Lemon,,<1,36.417,33.628,33.867,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-19,1:43.843,Lemon,,<1,36.461,33.606,33.776,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-19,1:43.701,Lemon,,<1,36.372,33.599,33.730,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-19,1:43.603,ありす,,1,36.416,33.669,33.518,10-0-0,1-1-1,Lemmy,Biddybuggy,Azure Roller,Paper Glider
2022-03-20,1:43.576,めめ,,<1,36.562,33.577,33.437,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2022-03-20,1:43.536,めめ,,<1,36.488,33.553,33.495,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2022-03-20,1:43.518,しらぬい,,<1,36.299,33.627,33.592,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-20,1:43.363,しらぬい,,<1,36.356,33.369,33.638,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-20,1:43.070,しらぬい,,<1,36.291,33.400,33.379,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-20,1:42.996,しらぬい,,<1,36.247,33.350,33.399,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-20,1:42.811,しらぬい,,5,36.231,33.329,33.251,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-25,1:42.595,ありす,,<1,36.142,33.183,33.270,10-0-0,1-1-1,Lemmy,Biddybuggy,Roller,Paper Glider
2022-03-25,1:42.485,しらぬい,,19,36.164,33.121,33.200,10-0-0,1-1-1,Baby Rosalina,Biddybuggy,Azure Roller,Paper Glider
2022-04-13,1:42.395,Panda,,<1,36.109,33.068,33.218,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-04-13,1:42.338,Panda,,1,36.229,33.075,33.034,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-04-14,1:42.196,Alberto,,1,36.122,33.145,32.929,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Parachute
2022-04-15,1:42.119,Alberto,,<1,36.082,33.123,32.914,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Parachute
2022-04-15,1:42.108,Alberto,,<1,36.066,33.002,33.040,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-04-15,1:41.959,Alberto,,97,36.041,32.864,33.054,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-07-21,1:41.866,Army,,2,35.998,32.962,32.906,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-07-23,1:41.801,Army,,<1,36.037,32.903,32.861,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-07-23,1:41.767,Army,,206,36.036,32.917,32.814,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Parachute
