Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:36.688,DestinyCst,,<1,32.318,32.179,32.191,7-2-1,1-1-1,Rosalina,Blue Falcon,Cyber Slick,Super Glider
2017-04-28,1:34.135,Danny,,<1,32.425,29.771,31.939,-,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:31.944,Luigi_Fan2,,1,31.269,30.372,30.303,-,1-1-1,Luigi,Standard Kart,Standard,Super Glider
2017-04-29,1:30.277,Kins0,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:29.821,Issem,,<1,30.658,29.814,29.349,7-2-1,1-1-1,King Boo,W 25 Silver Arrow,Slim,Super Glider
2017-04-29,1:29.313,Issem,,<1,30.620,29.478,29.215,7-3-0,1-1-1,King Boo,W 25 Silver Arrow,Slim,Super Glider
2017-04-29,1:29.256,Issem,,<1,30.410,29.358,29.488,8-2-0,1-1-1,King Boo,Streetle,Roller,Super Glider
2017-04-29,1:28.604,Kins0,,1,-,-,-,-,-,-,-,-,-
2017-04-30,1:28.394,Kins0,,<1,30.311,28.870,29.213,7-3-0,1-1-1,King Boo,W 25 Silver Arrow,Slim,Super Glider
2017-04-30,1:27.801,Kins0,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,1:27.637,Kins0,,1,29.889,28.778,28.970,8-2-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Slim,Super Glider
2017-05-01,1:27.425,Kevin,,1,30.147,28.635,28.643,10-0-0,1-1-1,Heavy Mii Mario,Pipe Frame,Roller,Plane Glider
2017-05-02,1:27.208,Kins0,,<1,30.017,28.658,28.533,-,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-05-02,1:27.139,Kins0,,2,29.844,28.824,28.471,7-2-1,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-05-04,1:27.044,Sgt. Guy,,<1,29.538,28.648,28.858,8-2-0,1-1-1,Roy,Streetle,Roller,Super Glider
2017-05-04,1:26.872,Kevin,,<1,29.617,28.855,28.400,8-2-0,1-1-1,Heavy Mii Cpt Falcon,Pipe Frame,Azure Roller,Plane Glider
2017-05-04,1:26.870,Kins0,,<1,-,-,-,8-2-0,1-1-1,-,-,-,-
2017-05-04,1:26.804,Kins0,,1,29.796,28.439,28.569,8-2-0,1-1-1,Dry Bowser,Streetle,Azure Roller,Super Glider
2017-05-05,1:26.442,Sgt. Guy,,1,29.412,28.653,28.377,8-1-1,1-1-1,Roy,Streetle,Roller,Super Glider
2017-05-06,1:26.418,Sgt. Guy,,<1,29.703,28.516,28.199,8-2-0,1-1-1,Roy,Streetle,Roller,Super Glider
2017-05-06,1:26.414,Kins0,,<1,-,-,-,-,-,-,-,-,-
2017-05-06,1:26.281,Sgt. Guy,,1,29.330,28.391,28.560,8-2-0,1-1-1,Roy,Streetle,Roller,Super Glider
2017-05-07,1:26.221,Kevin,,<1,29.487,28.471,28.263,8-2-0,1-1-1,Heavy Mii Wario,Biddybuggy,Azure Roller,Plane Glider
2017-05-07,1:26.180,Sgt. Guy,,<1,29.484,28.460,28.236,7-3-0,1-1-1,Roy,Streetle,Roller,Super Glider
2017-05-07,1:26.141,Sgt. Guy,,1,29.504,28.446,28.191,7-3-0,1-1-1,Roy,Streetle,Roller,Super Glider
2017-05-08,1:25.942,Kevin,,5,29.277,28.268,28.397,8-2-0,1-1-1,Heavy Mii Fox,Biddybuggy,Azure Roller,Plane Glider
2017-05-13,1:25.862,Kins0,,<1,29.396,28.170,28.296,10-0-0,1-1-1,Waluigi,Pipe Frame,Azure Roller,Waddle Wing
2017-05-13,1:25.603,Kevin,,2,29.378,28.141,28.084,8-2-0,1-1-1,Heavy Mii,Biddybuggy,Azure Roller,Plane Glider
2017-05-15,1:25.541,Kins0,,<1,29.289,27.952,28.300,10-0-0,1-1-1,Donkey Kong,Pipe Frame,Azure Roller,Super Glider
2017-05-15,1:25.317,Kevin,,2,29.121,28.006,28.190,8-2-0,1-1-1,Heavy Mii Bowser,Biddybuggy,Azure Roller,Plane Glider
2017-05-17,1:25.147,Kevin,,2,29.265,27.970,27.912,8-2-0,1-1-1,Heavy Mii Bowser,Biddybuggy,Azure Roller,Plane Glider
2017-05-19,1:25.071,Kevin,,<1,29.152,28.038,27.881,8-2-0,1-1-1,Heavy Mii Bowser,Biddybuggy,Azure Roller,Plane Glider
2017-05-19,1:25.017,Kevin,,<1,29.162,27.892,27.963,8-2-0,1-1-1,Heavy Mii Bowser,Biddybuggy,Azure Roller,Plane Glider
