Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-12-07,1:51.767,Hgt,,<1,38.365,36.778,36.624,10-0-0,1-1-1,Wario,Biddybuggy,Roller,Paper Glider
2022-12-07,1:51.691,Jimmy,,<1,38.534,36.669,36.488,10-0-0,1-1-1,Morton,Cat Cruiser,Azure Roller,Cloud Glider
2022-12-07,1:51.676,Hikki,,<1,38.288,36.716,36.672,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:51.571,Hikki,,<1,38.325,36.698,36.548,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:51.535 ,YOS,,<1,38.290,36.700,36.545,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Flower Glider
2022-12-07,1:51.407 ,Grant,,<1,38.234,36.557,36.616,10-0-0,1-1-1,Dry Bowser,Blue Falcon,Crimson Slim,Gold Glider
2022-12-07,1:50.910 ,Grant,,<1,38.097,36.373,36.440,10-0-0,1-1-1,Dry Bowser,Blue Falcon,Crimson Slim,Gold Glider
2022-12-07,1:50.798 ,Jimmy,,<1,38.054,36.382,36.362,10-0-0,1-1-1,Morton,Gold Kart,Crimson Slim,Gold Glider
2022-12-07,1:50.777 ,TTyler,,<1,38.072,36.349,36.356,10-0-0,1-1-1,Dry Bowser,Gold Kart,Crimson Slim,Gold Glider
2022-12-07,1:50.595 ,TTyler,,<1,38.021,36.326,36.248,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-07,1:50.459 ,Army,,1,37.978,36.286,36.195,10-0-0,1-1-1,Wario,Prancer,Crimson Slim,Super Glider
2022-12-08,1:50.449 ,TTyler,,<1,37.921,36.270,36.258,10-0-0,1-1-1,Dry Bowser,Gold Kart,Crimson Slim,Super Glider
2022-12-08,1:50.283 ,Army,,<1,37.960,36.158,36.165,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-08,1:50.225 ,Hgt,,<1,37.859,36.069,36.297,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-08,1:50.188 ,TTyler,,1,37.868,36.132,36.188,10-0-0,1-1-1,Dry Bowser,Gold Kart,Slim,Gold Glider
2022-12-09,1:50.093 ,Army,,<1,37.915,36.081,36.097,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-09,1:50.046 ,Army,,<1,37.855,36.079,36.112,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-09,1:49.960 ,Army,,<1,37.893,35.945,36.122,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-09,1:49.898 ,Army,,<1,37.794,35.987,36.117,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-09,1:49.880 ,Army,,<1,37.767,36.135,35.978,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-09,1:49.807 ,Army,,2,37.777,36.042,35.988,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-11,1:49.785 ,TTyler,,<1,37.697,36.099,35.989,10-0-0,1-1-1,Dry Bowser,Gold Kart,Slim,Gold Glider
2022-12-11,1:49.719 ,Army,,<1,37.818,35.937,35.964,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-11,1:49.586 ,Army,,9,37.698,35.922,35.966,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-20,1:49.509 ,Tane,,<1,37.621,35.983,35.905,10-0-0,1-1-1,Wario,Splat Buggy,Crimson Slim,Gold Glider
2022-12-20,1:49.497 ,JenZua,,<1,37.625,35.972,35.900,10-0-0,1-1-1,Wario,Prancer,Crimson Slim,Super Glider
2022-12-20,1:49.417 ,YOS,,<1,37.518,35.937,35.962,10-0-0,1-1-1,Dry Bowser,Gold Kart,Slim,Super Glider
2022-12-20,1:49.337 ,Hikki,,<1,37.593,35.890,35.854,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-12-20,1:49.327 ,Army,,25,37.578,35.965,35.784,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Super Glider
2023-01-14,1:49.281 ,Miguel,,<1,37.533,35.862,35.886,10-0-0,1-1-1,Dry Bowser,Gold Kart,Slim,Gold Glider
2023-01-14,1:49.268 ,Army,,7,37.568,35.846,35.854,10-0-0,1-1-1,Wario,Gold Kart,Crimson Slim,Super Glider
2023-01-21,1:49.171 ,Miguel,,14,37.521,35.850,35.800,10-0-0,1-1-1,Dry Bowser,Gold Kart,Slim,Gold Glider
2023-02-04,1:49.144 ,Miguel,,10,37.519,35.848,35.777,10-0-0,1-1-1,Dry Bowser,Gold Kart,Slim,Gold Glider
