Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:27.419,Mattew,,<1,30.357,28.693,28.369,7-3-0,1-1-1,Morton,Gold Standard,Cyber Slick,Super Glider
2017-04-28,1:27.318 ,purin,,<1,30.363,28.541,28.414,7-3-0,1-1-1,Dry Bowser,Yoshi Bike,Slim,Parafoil
2017-04-28,1:27.115,K4I,,<1,30.329,28.507,28.279,7-3-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-04-28,1:26.838 ,purin,,1,-,-,-,-,-,-,-,-,-
2017-04-29,1:26.648,Anthony,,<1,30.156,28.470,28.022,7-3-0,1-1-1,Wario,Jet Bike,Slim,Waddle Wing
2017-04-29,1:26.636,Anthony,,<1,30.149,28.447,28.040,7-3-0,1-1-1,Wario,Jet Bike,Slim,Hylian Kite
2017-04-29,1:26.519,Anthony,,3,30.146,28.336,28.037,7-3-0,1-1-1,Wario,Jet Bike,Slim,Hylian Kite
2017-05-02,1:26.388,ゆゆゆ,,1,30.057,28.419,27.912,7-3-0,1-1-1,Wario,Sport Bike,Slim,Wario Wing
2017-05-03,1:26.336,Anthony,,<1,30.089,28.225,28.022,7-3-0,1-1-1,Wario,Sport Bike,Slim,Waddle Wing
2017-05-03,1:26.200,ゆゆゆ,,1,30.022,28.379,27.799,7-3-0,1-1-1,Wario,Sport Bike,Slim,Wario Wing
2017-05-04,1:26.164,Anthony,,3,30.082,28.159,27.923,7-3-0,1-1-1,Wario,Sport Bike,Crimson Slim,Hylian Kite
2017-05-07,1:26.141,Anthony,,1,30.067,28.205,27.869,7-3-0,1-1-1,Wario,Sport Bike,Slim,Waddle Wing
2017-05-08,1:26.071,ぺんぎんさむらい,,3,30.062,28.124,27.885,7-3-0,1-1-1,Morton,Sport Bike,Slim,Super Glider
2017-05-11,1:26.043,Cole,,<1,29.977,28.151,27.915,7-3-0,1-1-1,Morton,Sport Bike,Slim,Super Glider
2017-05-11,1:25.902,Cole,,2,29.966,28.015,27.921,7-3-0,1-1-1,Morton,Sport Bike,Slim,Super Glider
2017-05-13,1:25.902,ぺんぎんさむらい,,<1,30.022,28.053,27.827,7-3-0,1-1-1,Morton,Sport Bike,Slim,Super Glider
2017-05-13,1:25.857,ぺんぎんさむらい,,1,29.966,28.051,27.840,7-3-0,1-1-1,Morton,Sport Bike,Slim,Super Glider
