Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-08-04,1:06.861,Astro,,<1,23.395,21.650,21.816,9-1-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-04,1:06.730,Awoken,,<1,23.276,21.635,21.819,9-1-0,1-1-1,Roy,Mr. Scooty,Roller,Flower Glider
2022-08-04,1:06.569,Awoken,,<1,23.168,21.750,21.651,9-1-0,1-1-1,Roy,Mr. Scooty,Roller,Flower Glider
2022-08-04,1:06.513,Jimmy,,<1,23.154,21.701,21.658,10-0-0,1-1-1,Roy,Mr. Scooty,Azure Roller,Cloud Glider
2022-08-04,1:06.487,Astro,,<1,23.338,21.546,21.603,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-04,1:06.359,Army,,<1,23.245,21.470,21.644,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-04,1:06.228,Army,,1,23.273,21.376,21.579,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-05,1:06.175,Alpaco,,<1,23.022,21.556,21.597,10-0-0,1-1-1,Roy,Mr. Scooty,Azure Roller,Cloud Glider
2022-08-05,1:06.112,Army,,<1,23.031,21.524,21.557,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-05,1:06.040,Army,,<1,23.112,21.490,21.438,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-05,1:06.011,Army,,<1,22.997,21.581,21.433,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-05,1:05.872,Army,,<1,23.031,21.405,21.436,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-05,1:05.838,Army,,<1,23.040,21.403,21.395,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-05,1:05.824,Army,,1,22.960,21.432,21.432,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-06,1:05.665,Panda,,<1,22.929,21.374,21.362,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-08-06,1:05.491,Panda,,<1,22.964,21.234,21.293,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-08-06,1:05.408,Panda,,<1,22.769,21.290,21.349,9-1-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-08-06,1:05.235,Panda,,<1,22.803,21.163,21.269,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-08-06,1:05.207,Panda,,<1,22.810,21.285,21.112,9-1-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-08-06,1:05.171,Panda,,<1,22.937,21.116,21.118,9-1-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-08-06,1:05.161,Panda,,<1,22.885,21.162,21.114,9-1-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-08-06,1:05.144,Panda,,1,22.832,21.136,21.176,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-08-07,1:05.084,Panda,,<1,22.853,21.117,21.114,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-08-07,1:04.874,Panda,,3,22.699,21.118,21.057,9-1-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-08-10,1:04.871,Panda,,1,22.681,21.108,21.082,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-08-11,1:04.784,Panda,,10,22.747,21.070,20.967,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
