Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:30.925,Issem,,<1,31.591,29.866,29.468,10-0-0,1-1-1,King Boo,Pipe Frame,Slim,Parachute
2017-04-28,1:30.772,Danny,,<1,31.467,29.650,29.655,-,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:30.291,Issem,,1,31.628,29.318,29.345,10-0-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Cloud Glider
2017-04-29,1:30.018,Kins0,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:29.617,John,,2,30.938,29.348,29.331,9-1-0,1-1-1,Wario,Blue Falcon,Roller,Wario Wing
2017-05-01,1:28.965,Kins0,,2,30.699,28.974,29.292,9-1-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-03,1:28.771,Ice Egg,,2,30.643,29.053,29.075,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Waddle Wing
2017-05-05,1:27.917,Kins0,,2,30.206,28.939,28.772,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Slim,Super Glider
2017-05-07,1:27.852,Mick,,3,30.165,28.879,28.808,10-0-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Parachute
2017-05-10,1:27.846,Finn,,2,29.896,29.063,28.887,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Cloud Glider
2017-05-12,1:27.831,Rom,,<1,29.793,29.033,29.005,9-1-0,2-1-0,Heavy Mii Crossing,Splat Buggy,Crimson Slim,Cloud Glider
2017-05-12,1:27.819,Rom,,<1,29.759,29.039,29.021,10-0-0,2-1-0,Heavy Mii Crossing,Splat Buggy,Crimson Slim,Cloud Glider
2017-05-12,1:27.766,Rom,,<1,29.956,28.797,29.013,10-0-0,2-1-0,Heavy Mii Crossing,Splat Buggy,Crimson Slim,Cloud Glider
2017-05-12,1:27.742,Dread,,<1,29.800,28.864,29.078,10-0-0,1-1-1,Wario,Wild Wiggler,Slim,Cloud Glider
2017-05-12,1:27.616,Dread,,<1,29.769,28.865,28.982,10-0-0,1-1-1,Wario,Wild Wiggler,Slim,Cloud Glider
2017-05-12,1:27.489,Dread,,<1,29.728,28.826,28.935,10-0-0,2-1-0,Wario,Standard Kart,Slim,Cloud Glider
2017-05-12,1:27.396,Dread,,1,29.789,28.796,28.811,9-1-0,1-1-1,Wario,Standard Kart,Slim,Cloud Glider
2017-05-13,1:27.328,Darren,,<1,29.713,29.013,28.602,10-0-0,2-0-1,Waluigi,Inkstriker,Slim,Super Glider
2017-05-13,1:26.911,Kins0,,1,29.610,28.807,28.494,-,-,Wario,Mach 8,Crimson Slim,Cloud Glider
2017-05-14,1:26.890,Jimmy,,2,29.536,28.918,28.436,10-0-0,2-0-1,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2017-05-16,1:26.848,Jimmy,,19,29.513,28.818,28.517,10-0-0,2-0-1,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2017-06-04,1:26.753,Kins0,,1,29.435,28.854,28.464,10-0-0,2-0-1,Wario,Mach 8,Crimson Slim,Wario Wing
2017-06-05,1:26.644,Kins0,,2,29.463,28.775,28.406,10-0-0,2-0-1,Wario,Sports Coupe,Crimson Slim,Wario Wing
2017-06-07,1:26.515,Kins0,,123,29.422,28.774,28.319,10-0-0,2-0-1,Wario,Sports Coupe,Crimson Slim,Wario Wing
2017-10-08,1:26.470,Kevin,,119,29.435,28.736,28.299,10-0-0,2-0-1,Heavy Mii Splatoon,Mach 8,Crimson Slim,Cloud Glider
2018-02-04,1:26.466,Doodle,,2,29.418,28.663,28.385,10-0-0,2-0-1,Wario,Mach 8,Wood,Cloud Glider
2018-02-06,1:26.462,Doodle,,<1,29.400,28.730,28.332,10-0-0,2-0-1,Wario,Mach 8,Wood,Cloud Glider
2018-02-06,1:26.389,Doodle,,2,29.405,28.626,28.358,9-1-0,2-0-1,Wario,Mach 8,Wood,Cloud Glider
2018-02-08,1:26.320,Doodle,,1,29.382,28.672,28.266,10-0-0,2-0-1,Wario,Mach 8,Slim,Parachute
2018-02-09,1:26.282,Doodle,,3,29.344,28.682,28.256,10-0-0,2-0-1,Wario,Mach 8,Slim,Wario Wing
2018-02-12,1:26.229,Doodle,,224,29.366,28.380,28.483,10-0-0,2-1-0,Wario,Mach 8,Crimson Slim,Gold Glider
2018-09-24,1:26.226,Jimmy,,1,29.330,28.359,28.537,10-0-0,2-1-0,Dry Bowser,Sports Coupe,Crimson Slim,Gold Glider
2018-09-25,1:26.171,Doodle,,1,29.347,28.350,28.474,10-0-0,2-1-0,Wario,Mach 8,Slim,Paraglider
2018-09-26,1:26.127,Jimmy,,1,29.331,28.322,28.474,10-0-0,2-1-0,Dry Bowser,Sports Coupe,Crimson Slim,Gold Glider
2018-09-27,1:26.064,Doodle,,3,29.285,28.335,28.444,10-0-0,2-1-0,Wario,Mach 8,Slim,Paraglider
2018-09-30,1:26.055,Jimmy,,<1,29.266,28.328,28.461,10-0-0,2-1-0,Dry Bowser,Sports Coupe,Crimson Slim,Gold Glider
2018-09-30,1:26.037,Doodle,,1,29.289,28.289,28.459,10-0-0,2-1-0,Wario,Mach 8,Slim,Plane Glider
2018-10-01,1:26.017,Doodle,,2,29.264,28.363,28.390,10-0-0,2-1-0,Wario,Mach 8,Slim,Plane Glider
2018-10-03,1:25.981,Jimmy,,450,29.222,28.307,28.452,10-0-0,2-1-0,Dry Bowser,Sports Coupe,Crimson Slim,Gold Glider
2019-12-27,1:25.979,Tane,,4,29.292,28.315,28.372,10-0-0,2-1-0,Dry Bowser,Sports Coupe,Crimson Slim,Gold Glider
2019-12-31,1:25.931,Jimmy,,3,29.230,28.276,28.425,10-0-0,2-1-0,Dry Bowser,Sports Coupe,Crimson Slim,Gold Glider
2020-01-03,1:25.906,Jimmy,,2,29.257,28.218,28.431,10-0-0,2-1-0,Dry Bowser,Sports Coupe,Crimson Slim,Gold Glider
2020-01-05,1:25.903,Jimmy,,3,29.278,28.229,28.396,10-0-0,2-1-0,Dry Bowser,Sports Coupe,Crimson Slim,Gold Glider
