Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:23.975,Wariuzzo,,1,28.845,27.796,27.334,-,-,Pink Gold Peach,Standard Kart,Slick,Super Glider
2017-04-29,1:20.649,Mikkums,,1,28.096,26.276,26.277,10-0-0,1-1-1,Dry Bowser,Comet,Off-Road,Flower Glider
2017-04-30,1:20.438,Naoto,,1,27.902,26.208,26.328,10-0-0,1-1-1,Wario,Comet,GLA Tires,MKTV Parafoil
2017-05-01,1:20.267,Mikkums,,1,27.956,26.077,26.234,10-0-0,1-1-1,Bowser,Sport Bike,Slim,Super Glider
2017-05-02,1:20.212,Mikkums,,<1,27.985,26.200,26.027,10-0-0,1-1-1,Bowser,Yoshi Bike,Crimson Slim,Super Glider
2017-05-02,1:20.172,Mikkums,,<1,27.893,26.171,26.108,10-0-0,1-1-1,Bowser,Yoshi Bike,Crimson Slim,Super Glider
2017-05-02,1:20.103,Mikkums,,<1,27.824,26.185,26.094,10-0-0,1-1-1,Bowser,Yoshi Bike,Crimson Slim,Super Glider
2017-05-02,1:20.058,Mikkums,,<1,27.805,26.081,26.172,10-0-0,1-1-1,Bowser,Yoshi Bike,Crimson Slim,Super Glider
2017-05-02,1:19.916,Mikkums,,3,27.775,26.082,26.059,10-0-0,1-1-1,Bowser,Yoshi Bike,Crimson Slim,Super Glider
2017-05-05,1:19.802,Mikkums,,<1,27.813,25.945,26.044,10-0-0,1-1-1,Bowser,Comet,Crimson Slim,Wario Wing
2017-05-05,1:19.789,Kevin,,<1,27.777,26.202,25.810,10-0-0,1-1-1,Heavy Mii,Biddybuggy,Azure Roller,Parachute
2017-05-05,1:19.786,Kevin,,<1,27.855,25.967,25.964,10-0-0,1-1-1,Heavy Mii,Biddybuggy,Azure Roller,Parachute
2017-05-05,1:19.766,Kevin,,<1,27.780,25.976,26.010,10-0-0,1-1-1,Heavy Mii,Biddybuggy,Azure Roller,Parachute
2017-05-05,1:19.570,Kevin,,1,27.770,25.818,25.982,10-0-0,1-1-1,Heavy Mii,Biddybuggy,Azure Roller,Parachute
2017-05-06,1:19.482,Kevin,,2,27.782,25.864,25.836,10-0-0,1-1-1,Heavy Mii Cpt Falcon,Biddybuggy,Azure Roller,Parachute
2017-05-08,1:19.474,Kevin,,<1,27.741,25.893,25.840,10-0-0,1-1-1,Heavy Mii,Biddybuggy,Azure Roller,Plane Glider
2017-05-08,1:19.364,Bry,,3,27.721,25.852,25.791,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2017-05-11,1:19.352,Bry,,<1,27.681,25.849,25.822,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Peach Parasol
2017-05-11,1:19.211,Bry,,3,27.629,25.783,25.799,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Peach Parasol
2017-05-14,1:19.172,Bry,,<1,27.602,25.767,25.803,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Flower Glider
2017-05-14,1:19.088,Bry,,<1,27.554,25.777,25.757,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Cloud Glider
2017-05-14,1:18.967,Bry,,3,27.509,25.717,25.741,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Parachute
